成员,总选前直播日期,总时间（分）,总选后直播日期,总时间（分）,前后时间比例
孙芮,7-17 7-20 7-23 7-26 7-27,389±60,7-28 8-1 8-3,256±30,≈1.52
郑丹妮,7-9 7-10 7-12 7-14 7-16 7-18 7-19 7-21 7-24 7-25 7-26 7-27,432±190,8-3,27±10,≈16.00
宋昕冉,7-9 7-12 7-14 7-18 7-21 7-23 7-25 7-27,585±160,7-28 8-3 8-5,156±30,≈3.75
张丹三,7-9 7-11 7-13 7-16 7-17 7-19 7-20 7-21 7-23 7-25,241±120,7-28 8-2,60±30,≈4.02
刘力菲,7-8 7-9 7-14 7-15 7-21 7-22 7-25 7-26 7-27,445±160,7-30 8-1 8-5 8-8,124±40,≈3.59
徐子轩,7-12 7-21,136±20,8-4,108±10,≈1.26
杨冰怡,7-17 7-18 7-20 7-21 7-22 7-23 7-25 7-27,492±120,8-1,77±10,≈6.39
韩家乐,7-8 7-9 7-11 7-13 7-14 7-15 7-17 7-18 7-21 7-22 7-23 7-25 7-26 7-27,910±280,7-28 7-29 8-1 8-2,264±50,≈3.45
易嘉爱,7-15 7-22 7-26 7-27,285±40,7-28,58±10,≈4.91
万丽娜,7-22 7-25 7-27,257±70,7-31,98±10,≈2.62
张雨鑫,7-8 7-26 7-27,183±30,7-29 7-31 8-3,159±30,≈1.15
姜杉,7-13 7-14 7-15 7-16 7-18 7-20 7-22 7-25 7-26 7-27,369±160,7-28 8-1 8-2 8-5,96±50,≈3.84
冯思佳,7-25,22±10,,0±0,总选后不直播
刘增艳,7-8 7-9 7-10 7-12 7-14 7-15 7-19 7-21 7-24 7-25 7-26 7-27,1423±200,7-28 8-1 8-3 8-5,297±40,≈4.79
张怡,7-14 7-15 7-17 7-22 7-23 7-25 7-27,499±90,7-29 8-2,138±20,≈3.62
费沁源,7-8 7-11 7-16 7-19 7-20 7-21 7-22 7-23 7-27,353±120,7-28 8-1 8-4,61±50,≈5.79
